movie_id,title,release_date,popularity,vote_average,vote_count,streaming_platforms,on_netflix,on_hulu,on_prime
604079,The Long Walk,2025-09-10,14.0292,6.953,1162,"Starz Apple TV Channel, Starz Roku Premium Channel, Starz, Philo, Starz Amazon Channel",0,0,0
693134,Dune: Part Two,2024-02-27,24.9049,8.131,7528,"HBO Max, HBO Max Amazon Channel, YouTube TV",0,0,0
1206008,Ella McCay,2025-12-11,17.5015,5.7,73,Hulu,0,1,0
1596291,Queen of Chess,2026-01-27,7.75,7.391,23,"Netflix, Netflix Standard with Ads",1,0,0
1149504,Honey Don't!,2025-08-21,6.0016,5.7,309,"Netflix, Netflix Standard with Ads",1,0,0
1010756,The Strangers: Chapter 2,2025-09-25,8.4866,6.127,233,"Starz Apple TV Channel, Starz Roku Premium Channel, Starz, Philo, Starz Amazon Channel",0,0,0
1284496,Cycle of Time,2025-10-08,5.8539,6.1,54,IndieFlix,0,0,0
798645,The Running Man,2025-11-11,29.7036,6.8,1162,"MGM+ Amazon Channel, Paramount+ Amazon Channel, Paramount+ Roku Premium Channel, MGM Plus, Philo, Paramount Plus Essential, Paramount Plus Premium",0,0,0
986056,Thunderbolts*,2025-04-30,18.5482,7.296,3217,Disney Plus,0,0,0
1241470,Osiris,2025-07-25,22.5209,6.035,185,Hulu,0,1,0
1466115,Even If This Love Disappears Tonight,2025-12-24,23.0779,8.074,68,"Netflix, Netflix Standard with Ads",1,0,0
1245993,Caught Stealing,2025-08-26,7.5406,6.916,757,Netflix,1,0,0
1242011,Together,2025-07-28,12.209,7.008,925,Hulu,0,1,0
1038392,The Conjuring: Last Rites,2025-09-03,19.5961,6.908,1641,"HBO Max, HBO Max Amazon Channel",0,0,0
1022789,Inside Out 2,2024-06-11,21.2066,7.5,6462,Disney Plus,0,0,0
760329,The Smashing Machine,2025-10-01,6.979,6.474,428,"HBO Max, HBO Max Amazon Channel",0,0,0
1114967,Good Fortune,2025-10-14,7.0761,7.021,459,"Starz Apple TV Channel, Starz Roku Premium Channel, Starz, Philo",0,0,0
1267905,The Roses,2025-08-27,6.7938,6.726,578,Hulu,0,1,0
1087192,How to Train Your Dragon,2025-06-06,26.3503,7.941,2603,Netflix,1,0,0
1608616,Because of Cupid,2026-02-14,4.1354,7.0,2,"fuboTV, Philo, Hallmark+ Amazon Channel, Hallmark+ Apple TV Channel, Hallmark TV Amazon Channel",0,0,0
1125899,Cleaner,2025-02-19,8.5935,6.331,429,"HBO Max, HBO Max Amazon Channel, Cinemax Amazon Channel, Cinemax Apple TV Channel",0,0,0
786892,Furiosa: A Mad Max Saga,2024-05-22,12.5066,7.455,4662,HBO Max,0,0,0
1248226,Playdate,2025-11-05,18.7818,6.021,508,"Amazon Prime Video, Amazon Prime Video with Ads",0,0,1
1254808,Nouvelle Vague,2025-10-08,6.0428,7.3,114,"Netflix, Netflix Standard with Ads",1,0,0
1084736,The Count of Monte Cristo,2024-06-28,9.2128,7.924,1937,"fuboTV, MGM+ Amazon Channel, MGM Plus Roku Premium Channel, MGM Plus, Philo",0,0,0
1376434,Predator: Killer of Killers,2025-06-05,10.5569,7.83,1085,"Disney Plus, Hulu",0,1,0
1352624,The Mastermind,2025-10-16,4.0116,5.8,132,"MUBI, MUBI Amazon Channel",0,0,0
1252037,The Tank,2025-09-18,51.5355,7.082,342,"Amazon Prime Video, Amazon Prime Video with Ads",0,0,1
